# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   14.669338677    0.273235242    0.273231956    0.273232590
   14.729458918    0.219027008    0.219025072    0.219024924
   14.789579158    0.190508921    0.190508324    0.190507168
   14.849699399    0.186072414    0.186072327    0.186070723
   14.909819639    0.186503226    0.186503324    0.186502020
   14.969939880    0.184463757    0.184464084    0.184463175
   15.030060120    0.192940321    0.192940706    0.192939983
   15.090180361    0.230541188    0.230541428    0.230540595
   15.150300601    0.290860561    0.290860532    0.290859451
   15.210420842    0.337494554    0.337495029    0.337493733
   15.270541082    0.314648209    0.314649213    0.314647926
   15.330661323    0.267311864    0.267312793    0.267311510
   15.390781563    0.242575010    0.242575692    0.242574272
   15.450901804    0.248078303    0.248078293    0.248076883
   15.511022044    0.232671010    0.232670194    0.232668997
   15.571142285    0.211329406    0.211328242    0.211326985
   15.631262525    0.192321151    0.192320200    0.192318396
   15.691382766    0.185466769    0.185466067    0.185463391
   15.751503006    0.160053662    0.160053161    0.160050609
   15.811623246    0.127294888    0.127294676    0.127292908
   15.871743487    0.115764694    0.115764681    0.115763414
   15.931863727    0.121616732    0.121616872    0.121615845
   15.991983968    0.127718218    0.127718532    0.127717545
   16.052104208    0.133242932    0.133243562    0.133242326
   16.112224449    0.145576888    0.145577932    0.145576452
   16.172344689    0.171779624    0.171780905    0.171779522
   16.232464930    0.183636864    0.183636983    0.183636060
   16.292585170    0.169812366    0.169810569    0.169810074
   16.352705411    0.164682231    0.164679669    0.164678904
   16.412825651    0.149793392    0.149791336    0.149790281
   16.472945892    0.127228916    0.127227494    0.127226493
   16.533066132    0.105075101    0.105074094    0.105073418
   16.593186373    0.094113683    0.094112919    0.094112557
   16.653306613    0.099792250    0.099791683    0.099791347
   16.713426854    0.126231867    0.126231453    0.126230927
   16.773547094    0.174492723    0.174492884    0.174491519
   16.833667335    0.218423951    0.218426252    0.218422381
   16.893787575    0.207710545    0.207713487    0.207709030
   16.953907816    0.169658725    0.169659927    0.169657647
   17.014028056    0.155885743    0.155885279    0.155884902
   17.074148297    0.140624352    0.140622798    0.140623771
   17.134268537    0.118252526    0.118251080    0.118252150
   17.194388778    0.102397943    0.102396951    0.102397523
   17.254509018    0.102719111    0.102718289    0.102718572
   17.314629259    0.107387582    0.107386197    0.107386827
   17.374749499    0.103681392    0.103678705    0.103680529
   17.434869739    0.112994245    0.112989744    0.112993133
   17.494989980    0.128509633    0.128504272    0.128508271
   17.555110220    0.133137657    0.133134042    0.133136437
   17.615230461    0.135002435    0.135000588    0.135001398
   17.675350701    0.108708801    0.108707890    0.108708057
   17.735470942    0.086630080    0.086629679    0.086629576
   17.795591182    0.084112370    0.084112298    0.084111972
   17.855711423    0.096981916    0.096981983    0.096981584
   17.915831663    0.106676743    0.106676620    0.106676572
   17.975951904    0.099017890    0.099017783    0.099018024
   18.036072144    0.101173919    0.101173999    0.101174531
   18.096192385    0.126085835    0.126086184    0.126087233
   18.156312625    0.156876495    0.156877397    0.156878708
   18.216432866    0.150529604    0.150530655    0.150531088
   18.276553106    0.147926462    0.147927426    0.147926534
   18.336673347    0.167144109    0.167144839    0.167143558
   18.396793587    0.159288342    0.159288240    0.159288461
   18.456913828    0.134090694    0.134090511    0.134091622
   18.517034068    0.123921276    0.123921508    0.123922196
   18.577154309    0.118855611    0.118855944    0.118856228
   18.637274549    0.118593821    0.118594030    0.118594264
   18.697394790    0.115984518    0.115984975    0.115985362
   18.757515030    0.106445519    0.106446736    0.106447183
   18.817635271    0.109742281    0.109743882    0.109744148
   18.877755511    0.107861993    0.107863125    0.107863135
   18.937875752    0.095671664    0.095672487    0.095672105
   18.997995992    0.092467877    0.092468899    0.092467958
   19.058116232    0.104074870    0.104076584    0.104075006
   19.118236473    0.111895027    0.111897627    0.111895917
   19.178356713    0.111993513    0.111996169    0.111994989
   19.238476954    0.105105576    0.105108301    0.105107491
   19.298597194    0.086937472    0.086939856    0.086939370
   19.358717435    0.068446204    0.068448058    0.068447648
   19.418837675    0.059568783    0.059570519    0.059569989
   19.478957916    0.060311787    0.060313722    0.060313175
   19.539078156    0.070207227    0.070209294    0.070209213
   19.599198397    0.087022471    0.087025160    0.087025511
   19.659318637    0.094757570    0.094760775    0.094761706
   19.719438878    0.086246665    0.086249513    0.086250690
   19.779559118    0.068769215    0.068771026    0.068771457
   19.839679359    0.057933443    0.057934698    0.057934188
   19.899799599    0.057061563    0.057062552    0.057061362
   19.959919840    0.057353521    0.057353796    0.057352674
   20.020040080    0.060399762    0.060398941    0.060397595
   20.080160321    0.074228425    0.074226370    0.074224313
   20.140280561    0.087159023    0.087156943    0.087154488
   20.200400802    0.087250551    0.087249492    0.087247522
   20.260521042    0.081059897    0.081059512    0.081057771
   20.320641283    0.078007312    0.078007207    0.078005198
   20.380761523    0.077112372    0.077112483    0.077110371
   20.440881764    0.075083658    0.075084780    0.075082818
   20.501002004    0.074802630    0.074805412    0.074803451
   20.561122244    0.073704973    0.073710025    0.073707806
   20.621242485    0.069316189    0.069322345    0.069320002
   20.681362725    0.066459118    0.066462869    0.066461255
   20.741482966    0.070029547    0.070032346    0.070032094
   20.801603206    0.073425143    0.073428455    0.073429941
   20.861723447    0.071680908    0.071683894    0.071685143
